,Pokedex_Number,Name,Type1,Type2,Attack,Defense,Experience_Growth,Base_Egg,Base_Happiness,Base_Total,Capture_Rate,Height_M,Weight_Kg,Generation,Is_Legendary,Hp,Sp_Attack,Sp_Defense,Speed,Abilities,Type,N_Abilities,BMI
33,34,Nidoking,Poison,Ground,102.0,77.0,1059860.0,5120.0,70.0,505.0,45.0,1.4,62.0,1,0,81.0,85.0,75.0,85.0,"['Poison Point', 'Rivalry', 'Sheer Force']",Poison_Ground,3,31.632653061224495
34,35,Clefairy,Fairy,NaN,45.0,48.0,800000.0,2560.0,140.0,323.0,150.0,0.6,7.5,1,0,70.0,60.0,65.0,35.0,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Fairy,3,20.833333333333336
35,36,Clefable,Fairy,NaN,70.0,73.0,800000.0,2560.0,140.0,483.0,25.0,1.3,40.0,1,0,95.0,95.0,90.0,60.0,"['Cute Charm', 'Magic Guard', 'Unaware']",Fairy,3,23.668639053254434
36,37,Vulpix,Fire,Ice,41.0,40.0,1000000.0,5120.0,70.0,299.0,190.0,,,1,0,38.0,50.0,65.0,65.0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fire_Ice,4,
37,38,Ninetales,Fire,Ice,67.0,75.0,1000000.0,5120.0,70.0,505.0,75.0,,,1,0,73.0,81.0,100.0,109.0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fire_Ice,4,
38,39,Jigglypuff,Normal,Fairy,45.0,20.0,800000.0,2560.0,70.0,270.0,170.0,0.5,5.5,1,0,115.0,45.0,25.0,20.0,"['Cute Charm', 'Competitive', 'Friend Guard']",Normal_Fairy,3,22.0
39,40,Wigglytuff,Normal,Fairy,70.0,45.0,800000.0,2560.0,70.0,435.0,50.0,1.0,12.0,1,0,140.0,85.0,50.0,45.0,"['Cute Charm', 'Competitive', 'Frisk']",Normal_Fairy,3,12.0
40,41,Zubat,Poison,Flying,45.0,35.0,1000000.0,3840.0,70.0,245.0,255.0,0.8,7.5,1,0,40.0,30.0,40.0,55.0,"['Inner Focus', 'Infiltrator']",Poison_Flying,2,11.718749999999998
41,42,Golbat,Poison,Flying,80.0,70.0,1000000.0,3840.0,70.0,455.0,90.0,1.6,55.0,1,0,75.0,65.0,75.0,90.0,"['Inner Focus', 'Infiltrator']",Poison_Flying,2,21.484374999999996
42,43,Oddish,Grass,Poison,50.0,55.0,1059860.0,5120.0,70.0,320.0,255.0,0.5,5.4,1,0,45.0,75.0,65.0,30.0,"['Chlorophyll', 'Run Away']",Grass_Poison,2,21.6
43,44,Gloom,Grass,Poison,65.0,70.0,1059860.0,5120.0,70.0,395.0,120.0,0.8,8.6,1,0,60.0,85.0,75.0,40.0,"['Chlorophyll', 'Stench']",Grass_Poison,2,13.437499999999996
44,45,Vileplume,Grass,Poison,80.0,85.0,1059860.0,5120.0,70.0,490.0,45.0,1.2,18.6,1,0,75.0,110.0,90.0,50.0,"['Chlorophyll', 'Effect Spore']",Grass_Poison,2,12.916666666666668
45,46,Paras,Bug,Grass,70.0,55.0,1000000.0,5120.0,70.0,285.0,190.0,0.3,5.4,1,0,35.0,45.0,55.0,25.0,"['Effect Spore', 'Dry Skin', 'Damp']",Bug_Grass,3,60.00000000000001
46,47,Parasect,Bug,Grass,95.0,80.0,1000000.0,5120.0,70.0,405.0,75.0,1.0,29.5,1,0,60.0,60.0,80.0,30.0,"['Effect Spore', 'Dry Skin', 'Damp']",Bug_Grass,3,29.5
47,48,Venonat,Bug,Poison,55.0,50.0,1000000.0,5120.0,70.0,305.0,190.0,1.0,30.0,1,0,60.0,40.0,55.0,45.0,"['Compoundeyes', 'Tinted Lens', 'Run Away']",Bug_Poison,3,30.0
48,49,Venomoth,Bug,Poison,65.0,60.0,1000000.0,5120.0,70.0,450.0,75.0,1.5,12.5,1,0,70.0,90.0,75.0,90.0,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Bug_Poison,3,5.555555555555555
49,50,Diglett,Ground,Ground,55.0,30.0,1000000.0,5120.0,70.0,265.0,255.0,,,1,0,10.0,35.0,45.0,90.0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Ground_Ground,6,
50,51,Dugtrio,Ground,Ground,100.0,60.0,1000000.0,5120.0,70.0,425.0,50.0,,,1,0,35.0,50.0,70.0,110.0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Ground_Ground,6,
51,52,Meowth,Normal,Dark,35.0,35.0,1000000.0,5120.0,70.0,290.0,255.0,,,1,0,40.0,50.0,40.0,90.0,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Normal_Dark,6,
52,53,Persian,Normal,Dark,60.0,60.0,1000000.0,5120.0,70.0,440.0,90.0,,,1,0,65.0,75.0,65.0,115.0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Normal_Dark,6,
53,54,Psyduck,Water,NaN,52.0,48.0,1000000.0,5120.0,70.0,320.0,190.0,0.8,19.6,1,0,50.0,65.0,50.0,55.0,"['Damp', 'Cloud Nine', 'Swift Swim']",Water,3,30.624999999999996
54,55,Golduck,Water,NaN,82.0,78.0,1000000.0,5120.0,70.0,500.0,75.0,1.7,76.6,1,0,80.0,95.0,80.0,85.0,"['Damp', 'Cloud Nine', 'Swift Swim']",Water,3,26.505190311418687
55,56,Mankey,Fighting,NaN,80.0,35.0,1000000.0,5120.0,70.0,305.0,190.0,0.5,28.0,1,0,40.0,35.0,45.0,70.0,"['Vital Spirit', 'Anger Point', 'Defiant']",Fighting,3,112.0
56,57,Primeape,Fighting,NaN,105.0,60.0,1000000.0,5120.0,70.0,455.0,75.0,1.0,32.0,1,0,65.0,60.0,70.0,95.0,"['Vital Spirit', 'Anger Point', 'Defiant']",Fighting,3,32.0
57,58,Growlithe,Fire,NaN,70.0,45.0,1250000.0,5120.0,70.0,350.0,190.0,0.7,19.0,1,0,55.0,70.0,50.0,60.0,"['Intimidate', 'Flash Fire', 'Justified']",Fire,3,38.77551020408164
58,59,Arcanine,Fire,NaN,110.0,80.0,1250000.0,5120.0,70.0,555.0,75.0,1.9,155.0,1,0,90.0,100.0,80.0,95.0,"['Intimidate', 'Flash Fire', 'Justified']",Fire,3,42.93628808864266
59,60,Poliwag,Water,NaN,50.0,40.0,1059860.0,5120.0,70.0,300.0,255.0,0.6,12.4,1,0,40.0,40.0,40.0,90.0,"['Water Absorb', 'Damp', 'Swift Swim']",Water,3,34.44444444444445
60,61,Poliwhirl,Water,NaN,65.0,65.0,1059860.0,5120.0,70.0,385.0,120.0,1.0,20.0,1,0,65.0,50.0,50.0,90.0,"['Water Absorb', 'Damp', 'Swift Swim']",Water,3,20.0
61,62,Poliwrath,Water,Fighting,95.0,95.0,1059860.0,5120.0,70.0,510.0,45.0,1.3,54.0,1,0,90.0,70.0,90.0,70.0,"['Water Absorb', 'Damp', 'Swift Swim']",Water_Fighting,3,31.95266272189349
62,63,Abra,Psychic,NaN,20.0,15.0,1059860.0,5120.0,70.0,310.0,200.0,0.9,19.5,1,0,25.0,105.0,55.0,90.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psychic,3,24.074074074074073
63,64,Kadabra,Psychic,NaN,35.0,30.0,1059860.0,5120.0,70.0,400.0,100.0,1.3,56.5,1,0,40.0,120.0,70.0,105.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psychic,3,33.43195266272189
64,65,Alakazam,Psychic,NaN,50.0,65.0,1059860.0,5120.0,70.0,600.0,50.0,1.5,48.0,1,0,55.0,175.0,105.0,150.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psychic,3,21.333333333333332
65,66,Machop,Fighting,NaN,80.0,50.0,1059860.0,5120.0,70.0,305.0,180.0,0.8,19.5,1,0,70.0,35.0,35.0,35.0,"['Guts', 'No Guard', 'Steadfast']",Fighting,3,30.468749999999993
66,67,Machoke,Fighting,NaN,100.0,70.0,1059860.0,5120.0,70.0,405.0,90.0,1.5,70.5,1,0,80.0,50.0,60.0,45.0,"['Guts', 'No Guard', 'Steadfast']",Fighting,3,31.333333333333332
67,68,Machamp,Fighting,NaN,130.0,80.0,1059860.0,5120.0,70.0,505.0,45.0,1.6,130.0,1,0,90.0,65.0,85.0,55.0,"['Guts', 'No Guard', 'Steadfast']",Fighting,3,50.78124999999999
68,69,Bellsprout,Grass,Poison,75.0,35.0,1059860.0,5120.0,70.0,300.0,255.0,0.7,4.0,1,0,50.0,70.0,30.0,40.0,"['Chlorophyll', 'Gluttony']",Grass_Poison,2,8.163265306122451
69,70,Weepinbell,Grass,Poison,90.0,50.0,1059860.0,5120.0,70.0,390.0,120.0,1.0,6.4,1,0,65.0,85.0,45.0,55.0,"['Chlorophyll', 'Gluttony']",Grass_Poison,2,6.4
70,71,Victreebel,Grass,Poison,105.0,65.0,1059860.0,5120.0,70.0,490.0,45.0,1.7,15.5,1,0,80.0,100.0,70.0,70.0,"['Chlorophyll', 'Gluttony']",Grass_Poison,2,5.363321799307959
71,72,Tentacool,Water,Poison,40.0,35.0,1250000.0,5120.0,70.0,335.0,190.0,0.9,45.5,1,0,40.0,50.0,100.0,70.0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Water_Poison,3,56.172839506172835
72,73,Tentacruel,Water,Poison,70.0,65.0,1250000.0,5120.0,70.0,515.0,60.0,1.6,55.0,1,0,80.0,80.0,120.0,100.0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Water_Poison,3,21.484374999999996
73,74,Geodude,Rock,Ground,80.0,100.0,1059860.0,3840.0,70.0,300.0,255.0,,,1,0,40.0,30.0,30.0,20.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock_Ground,6,
74,75,Graveler,Rock,Ground,95.0,115.0,1059860.0,3840.0,70.0,390.0,120.0,,,1,0,55.0,45.0,45.0,35.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock_Ground,6,
75,76,Golem,Rock,Ground,120.0,130.0,1059860.0,3840.0,70.0,495.0,45.0,,,1,0,80.0,55.0,65.0,45.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Rock_Ground,6,
76,77,Ponyta,Fire,NaN,85.0,55.0,1000000.0,5120.0,70.0,410.0,190.0,1.0,30.0,1,0,50.0,65.0,65.0,90.0,"['Run Away', 'Flash Fire', 'Flame Body']",Fire,3,30.0
77,78,Rapidash,Fire,NaN,100.0,70.0,1000000.0,5120.0,70.0,500.0,60.0,1.7,95.0,1,0,65.0,80.0,80.0,105.0,"['Run Away', 'Flash Fire', 'Flame Body']",Fire,3,32.871972318339104
78,79,Slowpoke,Water,Psychic,65.0,65.0,1000000.0,5120.0,70.0,315.0,190.0,1.2,36.0,1,0,90.0,40.0,40.0,15.0,"['Oblivious', 'Own Tempo', 'Regenerator']",Water_Psychic,3,25.0
79,80,Slowbro,Water,Psychic,75.0,180.0,1000000.0,5120.0,70.0,590.0,75.0,1.6,78.5,1,0,95.0,130.0,80.0,30.0,"['Oblivious', 'Own Tempo', 'Regenerator']",Water_Psychic,3,30.664062499999993
80,81,Magnemite,Electric,Steel,35.0,70.0,1000000.0,5120.0,70.0,325.0,190.0,0.3,6.0,1,0,25.0,95.0,55.0,45.0,"['Magnet Pull', 'Sturdy', 'Analytic']",Electric_Steel,3,66.66666666666667
81,82,Magneton,Electric,Steel,60.0,95.0,1000000.0,5120.0,70.0,465.0,60.0,1.0,60.0,1,0,50.0,120.0,70.0,70.0,"['Magnet Pull', 'Sturdy', 'Analytic']",Electric_Steel,3,60.0
82,83,Farfetch'd,Normal,Flying,90.0,55.0,1000000.0,5120.0,70.0,377.0,45.0,0.8,15.0,1,0,52.0,58.0,62.0,60.0,"['Keen Eye', 'Inner Focus', 'Defiant']",Normal_Flying,3,23.437499999999996
83,84,Doduo,Normal,Flying,85.0,45.0,1000000.0,5120.0,70.0,310.0,190.0,1.4,39.2,1,0,35.0,35.0,35.0,75.0,"['Run Away', 'Early Bird', 'Tangled Feet']",Normal_Flying,3,20.000000000000004
84,85,Dodrio,Normal,Flying,110.0,70.0,1000000.0,5120.0,70.0,470.0,45.0,1.8,85.2,1,0,60.0,60.0,60.0,110.0,"['Run Away', 'Early Bird', 'Tangled Feet']",Normal_Flying,3,26.296296296296294
85,86,Seel,Water,NaN,45.0,55.0,1000000.0,5120.0,70.0,325.0,190.0,1.1,90.0,1,0,65.0,45.0,70.0,45.0,"['Thick Fat', 'Hydration', 'Ice Body']",Water,3,74.38016528925618
86,87,Dewgong,Water,Ice,70.0,80.0,1000000.0,5120.0,70.0,475.0,75.0,1.7,120.0,1,0,90.0,70.0,95.0,70.0,"['Thick Fat', 'Hydration', 'Ice Body']",Water_Ice,3,41.52249134948097
87,88,Grimer,Poison,Poison,80.0,50.0,1000000.0,5120.0,70.0,325.0,190.0,,,1,0,80.0,40.0,50.0,25.0,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Poison_Poison,6,
88,89,Muk,Poison,Poison,105.0,75.0,1000000.0,5120.0,70.0,500.0,75.0,,,1,0,105.0,65.0,100.0,50.0,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Poison_Poison,6,
89,90,Shellder,Water,NaN,65.0,100.0,1250000.0,5120.0,70.0,305.0,190.0,0.3,4.0,1,0,30.0,45.0,25.0,40.0,"['Shell Armor', 'Skill Link', 'Overcoat']",Water,3,44.44444444444444
90,91,Cloyster,Water,Ice,95.0,180.0,1250000.0,5120.0,70.0,525.0,60.0,1.5,132.5,1,0,50.0,85.0,45.0,70.0,"['Shell Armor', 'Skill Link', 'Overcoat']",Water_Ice,3,58.888888888888886
91,92,Gastly,Ghost,Poison,35.0,30.0,1059860.0,5120.0,70.0,310.0,190.0,1.3,0.1,1,0,30.0,100.0,35.0,80.0,['Levitate'],Ghost_Poison,1,0.05917159763313609
92,93,Haunter,Ghost,Poison,50.0,45.0,1059860.0,5120.0,70.0,405.0,90.0,1.6,0.1,1,0,45.0,115.0,55.0,95.0,['Levitate'],Ghost_Poison,1,0.03906249999999999
93,94,Gengar,Ghost,Poison,65.0,80.0,1059860.0,5120.0,70.0,600.0,45.0,1.5,40.5,1,0,60.0,170.0,95.0,130.0,['Cursed Body'],Ghost_Poison,1,18.0
94,95,Onix,Rock,Ground,45.0,160.0,1000000.0,6400.0,70.0,385.0,45.0,8.8,210.0,1,0,35.0,30.0,45.0,70.0,"['Rock Head', 'Sturdy', 'Weak Armor']",Rock_Ground,3,2.711776859504132
95,96,Drowzee,Psychic,NaN,48.0,45.0,1000000.0,5120.0,70.0,328.0,190.0,1.0,32.4,1,0,60.0,43.0,90.0,42.0,"['Insomnia', 'Forewarn', 'Inner Focus']",Psychic,3,32.4
96,97,Hypno,Psychic,NaN,73.0,70.0,1000000.0,5120.0,70.0,483.0,75.0,1.6,75.6,1,0,85.0,73.0,115.0,67.0,"['Insomnia', 'Forewarn', 'Inner Focus']",Psychic,3,29.531249999999993
97,98,Krabby,Water,NaN,105.0,90.0,1000000.0,5120.0,70.0,325.0,225.0,0.4,6.5,1,0,30.0,25.0,25.0,50.0,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Water,3,40.62499999999999
98,99,Kingler,Water,NaN,130.0,115.0,1000000.0,5120.0,70.0,475.0,60.0,1.3,60.0,1,0,55.0,50.0,50.0,75.0,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Water,3,35.50295857988165
99,100,Voltorb,Electric,NaN,30.0,50.0,1000000.0,5120.0,70.0,330.0,190.0,0.5,10.4,1,0,40.0,55.0,55.0,100.0,"['Soundproof', 'Static', 'Aftermath']",Electric,3,41.6
100,101,Electrode,Electric,NaN,50.0,70.0,1000000.0,5120.0,70.0,490.0,60.0,1.2,66.6,1,0,60.0,80.0,80.0,150.0,"['Soundproof', 'Static', 'Aftermath']",Electric,3,46.25
101,102,Exeggcute,Grass,Psychic,40.0,80.0,1250000.0,5120.0,70.0,325.0,90.0,0.4,2.5,1,0,60.0,60.0,45.0,40.0,"['Chlorophyll', 'Harvest']",Grass_Psychic,2,15.624999999999996
102,103,Exeggutor,Grass,Psychic,105.0,85.0,1250000.0,5120.0,70.0,530.0,45.0,,,1,0,95.0,125.0,75.0,45.0,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",Grass_Psychic,4,
103,104,Cubone,Ground,NaN,50.0,95.0,1000000.0,5120.0,70.0,320.0,190.0,0.4,6.5,1,0,50.0,40.0,50.0,35.0,"['Rock Head', 'Lightningrod', 'Battle Armor']",Ground,3,40.62499999999999
104,105,Marowak,Ground,Fire,80.0,110.0,1000000.0,5120.0,70.0,425.0,75.0,,,1,0,60.0,50.0,80.0,45.0,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",Ground_Fire,6,
105,106,Hitmonlee,Fighting,NaN,120.0,53.0,1000000.0,6400.0,70.0,455.0,45.0,1.5,49.8,1,0,50.0,35.0,110.0,87.0,"['Limber', 'Reckless', 'Unburden']",Fighting,3,22.133333333333333
106,107,Hitmonchan,Fighting,NaN,105.0,79.0,1000000.0,6400.0,70.0,455.0,45.0,1.4,50.2,1,0,50.0,35.0,110.0,76.0,"['Keen Eye', 'Iron Fist', 'Inner Focus']",Fighting,3,25.61224489795919
107,108,Lickitung,Normal,NaN,55.0,75.0,1000000.0,5120.0,70.0,385.0,45.0,1.2,65.5,1,0,90.0,60.0,75.0,30.0,"['Own Tempo', 'Oblivious', 'Cloud Nine']",Normal,3,45.486111111111114
108,109,Koffing,Poison,NaN,65.0,95.0,1000000.0,5120.0,70.0,340.0,190.0,0.6,1.0,1,0,40.0,60.0,45.0,35.0,['Levitate'],Poison,1,2.7777777777777777
109,110,Weezing,Poison,NaN,90.0,120.0,1000000.0,5120.0,70.0,490.0,60.0,1.2,9.5,1,0,65.0,85.0,70.0,60.0,['Levitate'],Poison,1,6.597222222222222
110,111,Rhyhorn,Ground,Rock,85.0,95.0,1250000.0,5120.0,70.0,345.0,120.0,1.0,115.0,1,0,80.0,30.0,30.0,25.0,"['Lightningrod', 'Rock Head', 'Reckless']",Ground_Rock,3,115.0
111,112,Rhydon,Ground,Rock,130.0,120.0,1250000.0,5120.0,70.0,485.0,60.0,1.9,120.0,1,0,105.0,45.0,45.0,40.0,"['Lightningrod', 'Rock Head', 'Reckless']",Ground_Rock,3,33.2409972299169
112,113,Chansey,Normal,NaN,5.0,5.0,800000.0,10240.0,140.0,450.0,30.0,1.1,34.6,1,0,250.0,35.0,105.0,50.0,"['Natural Cure', 'Serene Grace', 'Healer']",Normal,3,28.595041322314046
113,114,Tangela,Grass,NaN,55.0,115.0,1000000.0,5120.0,70.0,435.0,45.0,1.0,35.0,1,0,65.0,100.0,40.0,60.0,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",Grass,3,35.0
114,115,Kangaskhan,Normal,NaN,125.0,100.0,1000000.0,5120.0,70.0,590.0,45.0,2.2,80.0,1,0,105.0,60.0,100.0,100.0,"['Early Bird', 'Scrappy', 'Inner Focus']",Normal,3,16.52892561983471
115,116,Horsea,Water,NaN,40.0,70.0,1000000.0,5120.0,70.0,295.0,225.0,0.4,8.0,1,0,30.0,70.0,25.0,60.0,"['Swift Swim', 'Sniper', 'Damp']",Water,3,49.99999999999999
116,117,Seadra,Water,NaN,65.0,95.0,1000000.0,5120.0,70.0,440.0,75.0,1.2,25.0,1,0,55.0,95.0,45.0,85.0,"['Poison Point', 'Sniper', 'Damp']",Water,3,17.36111111111111
117,118,Goldeen,Water,NaN,67.0,60.0,1000000.0,5120.0,70.0,320.0,225.0,0.6,15.0,1,0,45.0,35.0,50.0,63.0,"['Swift Swim', 'Water Veil', 'Lightningrod']",Water,3,41.66666666666667
